GATE_DS_DP: -2012.049,221.3045,-1499.246,206.6269,1,0
Connection: DP_bridgetosec,DP_belltower,232,9,4,6,3,3
Connection: DP_belltower,DP_connectiontodarkex,146,6,32,31,3,1
Connection: DP_connectiontodarkex,DP_DE07,37,3,10,63,0,2
Connection: DP_DE07,DP_pipedown,198,5,29,20,3,2
Connection: DP_pipedown,DP_LES08,45,23,32,22,1,1
Connection: DP_pipedown,DP_TB03,29,5,6,47,3,2
Connection: DP_brokensegment,DP_bellwall,133,12,28,34,3,3
Connection: DP_bellwall,DP_trashshelter,114,35,19,15,0,2
Connection: DP_bellwall,DP_FIA10,81,4,3,18,3,2
Connection: DP_FIA10,DP_FI05,7,7,24,72,2,1
Connection: DP_FI05,DP_FE03,20,4,273,43,3,0
Connection: DP_IN04,DP_IN05,41,70,12,32,0,1
Connection: DP_IN04,DP_FIA07,24,3,1,30,3,2
Connection: DP_IN05,DP_FE05,146,14,2,144,3,2
Connection: DP_IN05,DP_FE02,90,7,17,54,2,1
Connection: DP_FIA07,DP_FEA06,46,30,1,29,0,2
Connection: DP_FIA07,DP_FI04,1,17,90,4,2,0
Connection: DP_FEA06,DP_FE02,48,29,2,17,0,2
Connection: DP_FE02,DP_FEA07,40,15,7,17,3,2
Connection: DP_FEA07,DP_FE05,52,19,13,64,0,2
Connection: DP_FE05,DP_IN01,118,85,5,16,3,2
Connection: DP_FI04,DP_FIA09,2,24,44,10,2,0
Connection: DP_FIA09,DP_FIA08,2,20,19,6,2,2
Connection: DP_FIA09,DP_FI02,2,10,90,19,2,0
Connection: DP_FIA08,DP_FIS01,43,16,22,17,0,3
Connection: DP_IN01,DP_FE04,150,16,4,108,0,2
Connection: DP_FE04,DP_FE01,52,63,16,33,3,1
Connection: DP_FE01,DP_TBA06,99,22,11,33,0,3
Connection: DP_TBA06,DP_TB02,43,33,7,32,3,3
Connection: DP_TB02,DP_TB03,286,48,8,18,0,2
Connection: DP_TB03,DP_INA06,148,71,6,30,1,2
Connection: DP_INA06,DP_LE03,26,2,24,17,2,3
Connection: DP_LE03,DP_TB05,149,52,35,9,0,3
Connection: DP_TB05,DP_BOGGATE,140,15,30,3,0,0
